ID,Puzzle,Difficulty
33,.1....95.6...8....75......4.....8..9.231...8.1..37....97..3...5.....6.4.........2,2.6
34,.1.3.9....96.....8...8.4.6..81..6..9.67........2.5.7.....2.38.....9...4.........7,2.6
35,..7...3.61...6......231.........9.5..4........8..34..92.....1.......1.986...57..4,2.6
36,1..2..5.4.98...2.62.5......3....69...8.....3..1..8...2.6...37.....9.8..3....57...,2.6
37,..94...2..3.....1.1.......8.....5......7..8.2....91.465.6.4....8...6...3.1.2....7,2.6
38,721....6...............43.9.....823.3..19....158......81.6..4.59....5......3..6..,2.6
39,..6...8..7...8.3......9.54...39..1...17.....4....1..5..2........941...728.1......,2.6
40,......3.......3.6...5.78.9..9..645....2....7..7..1...8.2....48.98...7...4.39.....,2.6
41,..2..6..96..9.4..3.3....6..27.5..3...51........3.47........5.7...73.91...4......6,2.6
42,..9..4.1..1....78..74.3...........3.95....8.7.....7..5.4.6.....6..1..9.....8.2..3,2.6
43,.5....16.8....2....6....4.8.3..27..1......8...1..5............9..3..175.9..8..6.4,2.6
44,75......8.4..15......27.......1......893...........512415...29...3.4....8..6...3.,2.6
45,....54..8..7..9.........213.....5..1..5....7..61....297.3........2.48....8.2....7,2.6
46,....7.5...9...27...73....8..17...8.4....9.17.6..1...2.4.68......3.46......5......,2.6
47,.7........1....594..6...1..2..4.57...4587...3..........2.5...8.5.....36.4.81.....,2.6
48,..9........2.4.8..3.47.9......4.7.82....1.46.9..62..3....5......1....32.8.5..19..,2.6
49,.59...3.63...479........4....4.....8.1.8......25.93...7.8.1..93.4.3...6.......1..,2.6
50,.45..8..76.37......7.4.....3........2...813...69............4..8..6.91.....5.3.2.,2.6
51,...5....69..4..1.882..........28..5.4.3.........9.5.......7.5..6.1.......8...4.7.,2.6
52,2............3.48.417.....595.3.18.....2...53....8.14....794....2........94....7.,2.6
53,17..92.8..........9.6...34.....18...........5.943...2.63........579....2...83....,2.6
54,8.....54..2...5.......2..1..4.91.....83.....12..46..8.7..1.......4.9.......7.43..,2.6
55,9....3.6.2.5.6.......4.......8...72....58.....7.32...5.5.7....48.4......32...6..9,2.6
56,7..16............5.128...9.....7.6...3...1.5...5.36.14.4.........6..2..33.8...2..,2.6
57,.9.1.2.....2....6.8..3..9..3.......72.6..7.8......4...5..82.....61....4......63..,2.6
58,..7...2.42....5.....8..3.1.9......8...1...7....6.3...58...5.4..4..6.9.....23.41..,2.6
59,.5........6..34..5.8.65...2.9.17..6........5....8.9.....8...1.3.1..46.7.3........,2.6
60,.2......99...41..81..2..5....4.1..5....6...2..8.3......9.......6.5..8.3..134.....,2.6
61,.7.........4..3......7.2.3.8..96...29....4..7.57...6.4.2...8..6....2...5..5...1..,2.6
62,.2.........8...6..1.6749.......1...2....86...8....5.73......9....4......6.9.2..58,2.6
63,..7.1......3....6......41..2...5.....96..1.3..1.7...8.7.9....52.....57...8...2..9,2.6
64,.683...1...3.....2.7.5.6..4......9....7..5..19...14..78....7..94.5............2..,2.6
65,....2.84.85..1.7..4.......1....65.........2......815..9..7..1....6..4..32.1......,2.6
66,..64...3....5.34.2.9...86..1....4....7.2...4.2...1.7....7....8.9453...6.......3..,2.6
67,3..1..5...5..4.6..2....8....1..9.26.........58..4.2......6..18.9..5.........7...4,2.6
68,........73..9.14........6.5......8...18..3.7..2..6.....7.5..3...5.8.....4..192...,2.6
69,.1.54.8.......2.9...8..6.24...9..481...4.........6...7.82...7.9.7.8.....45..1..6.,2.6
70,1...629...7...9..52......4....9.4..38...761.....13.6.......3.283.9........2....6.,2.6
71,..6...5...3.8916.........7..9....16....2.......85....481.....2.4..........23.48.1,2.6
72,.6.....95..795..6...8......9....3..2......4....4.7...3...1.6..8.4...2..92..7...1.,2.6
73,.79.....1.......363...19..........85.1.58......3.4.7...6.....478..4....3...65....,2.6
74,..2.1...8..4.......6...9..5.3..4.......6.3.2.....82.76..........57..4...31.97.4..,2.6
75,.51.....7......26....96...43..5..9.6..5......17..3..2.....1.7....3.....8.4...76..,2.6
76,.5....14......3....2..6.7..8...16......9....6.......25.465.....7...3........84.6.,2.6
77,9..2...7.3.5.4.....8..6...46.38....92....4.1..9..2.7...3.7.......2...6.3....8....,2.6
78,..7..4..85..8...46....1....7...8.......2.6..3.....1.5.436..7.....93..5........2..,2.6
79,..921.....1....64...6..7.......78..53.4....9........3...7.63..1.8.9.......1.2....,2.6
80,..764..9.48...2..........4.1.6..5...7......5...9..63.7....7.6....24....58..1.....,2.6
81,....4...71...59.....9..6..88.1.9..73....7.....47..39..9.6.1...4.....2...28....51.,2.6
82,.7......3..4.13....9.6......19.2..6.628.5.1........7...8...5...2...7.......84...5,2.6
83,........6.....831.7..53...23.692....9.5........2.14...2..3...85.....64.........3.,2.6
84,...4....19....6......3.752..78.6.2.94....8.........6......2385...2.......1.9.....,2.6
85,...1.8.7...8....912..5.....4....2.........1.959..84.....3..7..29...4...7.74.5..1.,2.6
86,...2...68.9...427.....1....72..3..9.1....6..3...1.9..7.7.9......5.6..4..2.6....8.,2.6
87,.........6..92..149.7....6845.6.1.9........4.......3.6.7.2......4..9...25..4...39,2.6
88,476......9.........8...59..7..46..2........3..5..8...6....5......4.38.51.....1..2,2.6
89,.26.............4.4..56...3.4....2........45.938..5..63..9...7....7..1..7..1....2,2.6
90,...9....8.3....1..4.58.3.........9.5.8..4..6..54..7..3..........4...8.7.6...218..,2.6
91,47...9.5.....1....1...8.64.....7..3....4....9.1.....24..9..527..23.........92..8.,2.6
92,..5..342...89...3...2.....189.2..7.........5..7..36.1...6..........9.3...4.1.5...,2.6
93,..1..3...6...25...23..4....52....8.........9.1..4..3...685..94.....8..3.94..617..,2.6
94,....1.6....2...9..71.........6.....1..3..42..5.9....63.....81.29....5.4..2.9.3.7.,2.6
95,....8..91..6.4...3...7.1.........5..5...7.....48........4..91..8...5..2.17...26..,2.6
96,.65...3..21....5.68.3.....2...81.......2...6.9.....24..58.........9.3..5.7..45..8,2.6
97,........1.1....6.5....1.94.3486...5..5....3.........7...627.48.7..1.....5..3.4...,2.6
98,....8......53....7.82.71..36.....5.4..8.9...2.5..179..5....23........6...49......,2.6
99,.3..6......49..3...52..........37..4....5......7..2985..9...4...6......8.41...532,2.6
100,.....3......5.249.3.7.4.......3......6.1.4..2.3...6..5651....8..4....5..9...1.2..,2.6
101,3...........7..61...6....43.2...98....538...2..4.71...5......9...7.1....64....3.5,2.6
102,...5.....7.6.1.5..1..63.9...3..4..2....29....82......7......1...6......5.9.32....,2.6
103,...4..5..8....2.64..78....934..1........4....5..3.7...9.3...2.861....3.......9...,2.6
104,..762......2.1..3..1..9.6.....3...5......8....5..6.29..6....5..2..4..1.....97.82.,2.6
105,..34.8..229.31.4....5...3....26...1...62....98..14....7....4....8.....47......5..,2.6
106,3..4.728...4...7.68.......365.2...4.2..9.68....3........759......2..1..........1.,2.6
107,...........8.....5....6.982..964..7.1...7....5..9.86..8.1..4......1....4.4...5.36,2.6
108,3.............659.7..81.6...2....3.7..16.9...6..........295..7.1.............3.24,2.6
109,.5..69....61..4....84.1...71........7.8..2.........49....83..........5.....19..73,2.6
110,69...72.......2....183..9......3..16...6.8.4..4....5.........2.4..7...3.12.8...6.,2.6
111,....4.7.9....7.......2.5.3.38..9......57....21.2....8..9.8.7..4.2.5............26,2.6
112,..5..7.2......6.73...39.1.8.4......7.6....9.....781...6.2.5..9.71...85...........,2.6
113,7........6....243..217....9.58.......4..1........96..3......5.....64..2......7.8.,2.6
114,.....4.......3.61..3..9.....9274.......3....7..6..8...7..45..3...5...7.69...8..25,2.6
115,..9.1....2...3..8....8.5..9.....4....246..79...1..72.64.....6.256.....7..9....5..,2.6
116,.5.2....8..2..79.58.4....3.1...9......7..41.......2.....872...4...3..8.6..3..92..,2.6
117,6.......98......1..5.94..6.....3...7.....9.531...2.84..7.1.3..........81..68..5..,2.6
118,.3.7...244.8........96........5.67.3.2.....85...1....9.8..3........51.....34....1,2.6
119,.....23.5....7.....34.85...3..7..5.684.9.......5....4...8..62...17.....8.......9.,2.6
120,..2.....7589..6..27....2....574.....6...2.3.....9.....89...5.3....38.1....1..45..,2.6
121,.1.2.734..7.1.42...2..6.....813....4.......68..6.1.................9257...96....3,2.6
122,....3...9.319.7......4..3..98.2..6.76....8..........54...8.....845..69...1.....3.,2.6
123,9.....2.....75..3......8..5.27.8..59..53.......8.....6..9...1..6....1..7.8.6.7...,2.6
124,.41...2..9.3.1...4...8.....6..7..15......5....57.9.8..............1.9.73.9...2.4.,2.6
125,...1.....6...34.1..8.9.6..38.64.73...5.89..46..7.....54.8........26........5...74,2.6
126,.5.....6.....2...9..6...2573....2..5.4...69....93...8.5.7......4..8...2.9....4..6,2.6
127,........31.6.95.8.8.51.........5.9.....269.4......42..6.9...73..17..2...........5,2.6
128,27....39.9.31....2.6..............4....8.42.6..5.12......27.8.1..95.87...........,2.6
129,8.2..5......67.4.5..4......639......1.......7....4.9.....1...9..7..62........3..8,2.6
130,.....7281...8...9..2.1......3..........5.9.1.2.4.6....8.....6...4.27.3....7.....9,2.6
131,.2...6...6.5..7..4...5....8..17......59...8.2..8..49...821.5..9...8...1..3.......,2.6
132,......5.6.....21.49..36.....5.73.....7.......2....4...5.......2..86.3..9.3.8.7...,2.6
133,.....57...2...9...56.1..8....1...3...49.7...5.....6....1.4...2.......9..7.4.2..36,2.6
134,....7..2.4.1.25....3..1..9.1.65..9.43......1...9.......1.7.6..........82..79.....,2.6
135,.8..9.6..9..1.........781...25......6..2...7.4..6....2.32....6.7.....295....4...7,2.6
136,...2.39......7....1.9..5..87.....4...3...9..6.5.4.2...6......71........3.9..5....,2.6
137,.3........7..36...2.....4..8....3.4.7.....6......89.1.4....29..6...7.3.....16475.,2.6
138,..68.971.......49......75...84..19...1....8.239.....5....39....8...6......32.....,2.6
139,5..1...4...84...37.....7...3....2.1...5....8476...52......9.57...6......8.......1,2.6
140,...61..847......5....5....2.7.......3.6.7.9....84...7.2....1..6....9..1..6.2.....,2.6
141,......3.2536.....8....7.61..2.3..9..3.7.......4.8..2....3.567..7...1..4..........,2.6
142,...........4...2...68..91..2....8..5....7.68...94..7.....6...1.....45....73..2.6.,2.6
143,....51.6..5.............3...2...893.1.......23.5...4.721...5.....4.39.7...37.....,2.6
144,...46......523...7.2.8..5..9....6..2.51...8..38..4.....38...4.1..........4..7...6,2.6
145,...38...9....6..123....4.....58...........24.9......5..5.......82.14..73..3..2...,2.6
146,.6.....1..5941.78..1....9.2....75.....49...7...8.2.6...32.....89.......5.4..6....,2.6
147,.23......9......2....4.1...1..6.25.84..7....9..8....1..7..........5....42...46...,2.6
148,.1.......6.....7...5..47.9.1..8.......2465...3....2..5.249...8.........4....7.3..,2.6
149,.3..6..2...1.9...32..4........7.....82.....5...5...39.4....563..8...92......7.5.1,2.6
150,.63..52...2.......5.13...6..5..97..6....4.......8.3.17....7..8.4........7...593.1,2.6
151,.53....1.....4.....1....49.9....8.76....71.8..82.3.....65...1.....8.3..7.......4.,2.6
152,7..........5.1...9.98.......8.4..76.1..65...4....89.........43.3..8...7.571......,2.6
153,.....8..2..5.138........17.9.....4.734.2.............5.7..4......6.3..8.8....56..,2.6
154,........4...59273.5..8.46.....7..3..3.6.8..9...5.2.....9...8...8..3..1..263.1....,2.6
155,...3..1.785.........6......6.....8.2....9..4..84.....51.2..6.5..6..4...14.71...3.,2.6
156,.4......3.56..21...38....5.6...5.7....5..39....978..6....1.4.......7....8.3.....6,2.6
157,.3......8...1..75.57..2.....4.6..2....3..9..5....3..7.9..8.1....58.....4...4..6..,2.6
158,7...13.....5.......9.....583..9..6..........2.723..4.......2.4..1...7.9..6.89.2..,2.6
159,2...4..61.4......5..8..5.....5..94....9.3....6..1.7.....38..9....6....871........,2.6
160,.97..4.5..5...........75..33.9.4.6....8..3..2...1.7....4.....2.1.....5..8...2..46,2.6
161,9.6...4.7.3.1......58...9...67....3........46...7.....8...3..6.4.568...1.....9...,2.6
162,...35..4..9...6.7.8.....2..1......3..8...4.25.7....9.4....72...6.......1.4..69...,2.6
163,...5...3...6....2.59.4..........4.9.3....6..4..72.....86..19...4.......8..3..821.,2.6
164,2..8.6.....9......1.5.2......3.....6.......4..4.3.7.9...2...93......4.8.....1847.,2.6
165,..1.7.4..........248.9....1......1..9..6.4...8.3...9..6....73....73...95....85...,2.6
166,.5...8.2.....7...3..4...9.141.....86....8.5.......3.....2.36.....1....9....5.42..,2.6
167,..1..3..9...7.85..6...5.....6.....24..94...1.7.....8...5...946.....84...2...3....,2.6
168,.631............6.24..3.5..9..5..6....4...2.37.2....1.....5.7.....32........619.2,2.6
169,....5.83........5.....614722...7.3..1.6..8......6.2...452.......3..84......3..6..,2.6
170,...3.568....78..1.4.5......6.8.......2...4....4.9...73..9.........15..46......5.1,2.6
171,...6....9..5..92....83.....45..1..7...6.....4...2.4..89.....34....43...25.....6..,2.6
172,.......2..1......8436....9..278..3...4.26..7......18...8.6.......274.1....4.....3,2.6
173,.8....6.32....4..8.7...1.9......537..1.82...9.5..1........4......3..2....6.5....2,2.6
174,..1..85.3.7.....86...36.....6.9..........243.9.....2..8....3..42...........4.165.,2.6
175,.48..9.6...32..7......78....69.....15...4..3.....2........6..4945.3......7.....5.,2.6
176,..8....56.4.87......1..6......2.........9...85.6.41..2.3...4.....7.6.2.....7.5..1,2.6
177,......75.59.......2.6...1.8..8.4..7.4..83.....3...1....59..73.18............295..,2.6
178,.6.71....1.29............59.........7.4.8...3.2...34...76...3..8.96....4...5.....,2.6
179,....527...4......3.6....2.....8....6.5.13.8..13.6...9...5.6....6..9......79..1..4,2.6
180,6...238...8......6.3.5...7...31.6..2......4..5.7....1.1..75.3........6.........4.,2.6
181,.1239.....7...6..9...7...28..8.....796.5.....4...6...5.8....416.4.........9..3...,2.6
182,45....6..6835...7..2..9.......2......3.7.4..9....58.4.8....745..........7..3..8..,2.6
183,..6.2..39..8.3....72......8.1...37........4.....8.4..6......94......1...3..5..6.2,2.6
184,.8.7.2..4...3....8....1....7......53..1...8..4....326.....24...3...6.9..6.2..1...,2.6
185,..65...91.5........3.247.......1...6..8..3..7.92..4....43..9...9......5.......6..,2.6
186,532..16..8...654...........7.9.83..2..8....9..4.2...6....1...7...3..8.4..2....9..,2.6
187,......39.....6.5.7.5439...8..82.61..1.64....9.2........7..2....8.5..16.....8.....,2.6
188,.6......4..52.4..6....18.3...4937.....8........9.8..1.....753...7..2.6...2......1,2.6
189,.....2.....6.....4.1.4..68.8........3.....9.....25...1..4..6..27...8..1.6....9.3.,2.6
190,.51....6......41.....2..85.....1.....94..7..32....8...3....6.4....1....97.....5..,2.6
191,..4......91....4.6.632...7......56.4.82......4..7..1.........3..213..7.......6..1,2.6
192,..1.....6..6..5.......2.94....4.8.3..27.3....5.......8...5.9....6..82..3.....1...,2.6
193,.........5.1.7...3.6....72...65...4.31.......7...38.5..93..12..1...8...5...7...6.,2.6
194,.8.......39..4...65..2.6.1.9.3....5....43.....581........6.8..3......5...7..5.8..,2.6
195,1.3...6..92.53.1...8..........1.93...1.45..8...9..7.....294.........5964......85.,2.6
196,..7..5......4..6.7..5.8.32.21..7..98.5.......9.83......64.31.....18.........2...1,2.6
197,...5.1...86..3.....29..4....9.3......57.4..914.....8............8....96.17.6..5..,2.6
198,6.......3.7..8.....12.94...1..6..82...4.1.3......2..5..6...3.714.7.....9.........,2.6
199,2..894....47..3.......1.....2.6..........5.8.6.....9.4..85..23.5....26.11........,2.6
200,5.2.8....67..2....9.1..7...........1.4.96..7..6.2.........15.9.....4..18..7.....3,2.6
201,17.4.6.......9..25..........325.4...9...63.........7...56...4.17.......9..46....7,2.6
202,.2...79.31.........73.4....5...1.......28.1......35.262.56....1..7.....9.9....36.,2.6
203,...75...1..1..2.34....3..9....6..2..9.7..8.5...41....9........75.8.......4.....2.,2.6
204,..1....7..8........49..2..6....54.31...87.2...9..1..4..7.42.........3.8..12......,2.6
205,3..4..97......91..8..3......27.5....5..13.....4.......6.5....1........8.....85263,2.6
206,8..5....6..3.....9.92.1.8...6...1...27....68..8..7.5.1...7............2.1...26..8,2.6
207,.6..1....8.47...323...6.7...4.35...7...6.48..9........4....2..3........1.2....5..,2.6
208,.....3.79..691....2....7...19....8..3..6....5...3..9..7....8..2.6.4...1..1......7,2.6
209,..4...12..6..4.5.....8......9...63......5....75.1.....4....769.2.......7..6..3..8,2.6
210,.9.....6.7.....4.5....1.7.86...3.52...5..2..1....9.....6.1.7.4.2...5431..........,2.6
211,2...3..9.......17...5........6.......5.967......84.3.....3.1.2779...4..5.4.....1.,2.6
212,5....7.8....1....6....485.......96.8.9..2.7..1.2.....346.....3.9.3.....1...8....7,2.6
213,..2.1....36..9.......78..3..9......56...5.7...4.....28...5....4......37.2.1..8..6,2.6
214,7.....8....3..8..9....59.6.....8.6...7.53....6......1..89....3.5..16.2..........1,2.6
215,.7...5....93..76......1.......9..14881..4..7.....6....4...8...36.7...4.........65,2.6
216,87.....91..59.......2..1.8....1..97.6.1.2.........8.2.....74....2..6.....5....4.7,2.6
217,..8.4..2351..................42.8........9....7....1..7.......68....439..6..7.4.8,2.6
218,......6..3...7..5.541....8.2.61.........6...4....9.7.....73......5.8.2..1..4.9.3.,2.6
219,.7.5.....9...78...1...3...6.3....8.4...2...7..15..3...4......6......2.4...871....,2.6
220,.1...5.6...84......75.3.28..6.....2............1.4.9.738.7...4......87.5.2.......,2.6
221,.5.....63...14....3...952......2...518......7...8........9...5.4.......96....4.31,2.6
222,7..134.92..1...5.3....9....6...5.......7...3...7..9.2.4........3...6587.8.2......,2.6
223,7....63...63....9.5...4871..127.3..5...16.93..3..........4.1.2...7......15.......,2.6
224,.....61.4..39.........52...68...195..5....6.........2789...53.2..53.....3.6.8....,2.6
225,..6...9.1...95...83......2.6...7.....4..2.1...5..43..296.......5.8..7.....3..56..,2.6
226,....2.........64...5.8...3..98..7..2..62...5.1.....8..9.7.31....3.6....1..1.8...5,2.6
227,.8......1..7.68.......4.....1......8.....9.3....25...45....6...4.3....262....7.89,2.6
228,.....9.6.8..6.2...1.6....5...4.9.8..37.1....4....3.1...51.7....7......3..3.9.4...,2.6
229,87.6..3..6.4.2....59....4......32.....9.........7....8...9.....9.5.6..13.3..1.2.6,2.6
230,..7..3.21..5.9.6..1........968...5..............9.7.......16...2......1......2378,2.6
231,.7...5..6.8.4.....9.1......86...214..5.6...7.7...........5.4..1.4.8.67.....1....3,2.6
232,9.3....57.....36.......98..4..3........8..14..17..............5..819....75.28..3.,2.6
233,.21.4...98.5..6......3.....4......5........62.63...9.4..4....98..85.3.....9.2..7.,2.6
234,.928..37.....2.9..1......6.........7.8.4.1.2..3..8..9....5...4.9...67.......9..8.,2.6
235,7.......2.....9..8.3.....7....5.1.3.4............8.1.5..2..54....16.....6.87.4.1.,2.6
236,..3.9............18..25.36...........84.67.2.....3...7.29.....81....35..6.784....,2.6
237,9..5........1.8.6.2...7..8....8.3.9...9...8..7....6.43..1.94....5.2..1...........,2.6
238,..39.............1..5.2.369.7.6......3...9...86..7.2....843..9..1..82..3...7....2,2.6
239,..5.....8.3.1...46..9.8...36...7.9...9..58......2.....2...6........1...4..74.....,2.6
240,.26.3....7...4.5..1...2...6.83.......9...67................74.5..546.3.24..2.....,2.6
241,2...681...7.....8.3..4....9...39..2..5..74...7...8.........1.4..6..4.7....1..76..,2.6
242,..5..9.6.3.....2....6158........3.97....253..5..4.......3....1.7.........2.94.7..,2.6
243,8...7.6..........99.5...378.9.25...62....1........6....415...3..5.9..1..7......4.,2.6
244,1.......8..4......5.86.2.....2..34....1..9.5.4..2...7..2.7...9...9...3..81....5.7,2.6
245,..13.4..8...6.27...7.............81476...1.....495....89.4672.......9..6.4.....8.,2.6
246,1..5.936....3.......2.1......3.761...8..32.7.2..1......9....415....65..7.........,2.6
247,....143....8...6...5..7...2..43.2.6..........3.9....4..129..83..6.5....4...1.....,2.6
248,.........2...39...86..2.1..58..6......7....6....7.43..7..3..5.24...8....39...14..,2.6
249,....61...7482.....9..58....45...69....6.1............6.94.....1....7..2.2..9.....,2.6
250,..64.....3....541.....8......17....8.7.....5...4.2.9...9.81...7.....62...5.2....4,2.6
251,.3.29.....7....9.6.4.6..3.....1.....5.8.4...1.....248...63....791...5.62.........,2.6
252,.....3...3.589...4.94...6..8.36....9.....1...1.2...47...9.....74..5..9.3..82.....,2.6
253,7...4...1.926.8..5........9.8.4.65....9.73.6..2.....34..3.9.............8..1.4...,2.6
254,......85..68...9.3..2..7....4.5.8..6....7.1......3...4.86....3..3..81...9.....6..,2.6
255,..2..43.7.1...8..9...5.264..........9....65...73......5.......62.84........9..1.2,2.6
256,.6.....4...4.7.6.8....6.9.....839....5........1...68.3.4.9.....5..3..7.18......5.,2.6
257,......5...7....8..4...91.....5.29..62........3....57..6.81....95....736...93.....,2.6
258,6....7....18.9.7.4...45......1.3.....54.62....2.5..9........2....9.86.41.......87,2.6
259,.8.......9.6.8.4.....4...3..2......14....52..1...3.....6.....7...2.9138.8.92...1.,2.6
260,..6..3..9.728....53.8.9.2...9..6..5....7..8....3.8..6....6......2....1...8..1...7,2.6
261,.5.2.7.4.2...9..3...7..5....68..4.1.3..5...6....9..7............2........1.48927.,2.6
262,..47..6..1....23.59...8.4..6..1.9....9.4..7.3.7..........8.....5......6...2.3.9.4,2.6
263,...97..4195...2...2............9.8..42.1...3..79.2..54..6....8....83.....1....3..,2.6
264,.2..7....5...6.8........49..4....72...1..8...9.75..6....4...9.66...49.7.....3....,2.6
265,.2..3...43..5........6.47....7..9.1......6..24.5..3.6...2.9..461.9....58.8.......,2.6
266,......789..69.3.......2...5.6...4.......5...3...13.8...45..8...6.2....7..7.4..2..,2.6
267,9..6....2.8.79..3.5..2..49.21.....6...5..73...4.............846.....1...6...5.9..,2.6
268,.1......9..9.5..3.....9.7.6.....74.8......97...3.8..5.34...92...72..5.....812....,2.6
269,.......2.5....4..9..6...7..8...3..61.9..7.3.....1..59..752..1..2....1...9......4.,2.6
270,.8......743.8..6........94.6..5.........9.1.2..36..8...42....8.....6..5...7..53..,2.6
271,3..6...7.8.4.1.6.....8..4.5....5...72...83........25..41........78.46.2...3......,2.6
272,......4.57....9..2.4.....8.....3....5...7..1...64128...7.1...63.8...32......5....,2.6
273,7.19..6.......2.1..4.71..2...98...3.6..4..9....8...1...6......5.7.6...9......4..7,2.6
274,...9.28.1....7...5..4.8..7.3....64.9.......3.....25.....9....8....5.....6.8.4..1.,2.6
275,..9..57...5.....31.213....45.3..9.......6.....8.27..........192.92...58........4.,2.6
276,.7.....36...65...15....12..2.....7....7..4...1..3...8..3..8...2....6...8.4.9.....,2.6
277,....3..8....9..7...95..13...19.5...4....7..366...........7.8...2.15......6..1..2.,2.6
278,651....3.9...4.6....7..8..9.....7..579......3....2..4....3..12.1.47........1.....,2.6
279,.....6.1537.9.5.8....7....3............4.36.86.2..19...39.2.........7...8.5......,2.6
280,59......6....419....6..74..17........6.2..7....9....256..7..2.1.....8...2......4.,2.6
281,...9..8.5..8..2.4....54...3.7.21.........6..832..546..2.7.....6.5.1...8......53.7,2.6
282,...6......97.......38..2.54.......4.....2.13.2.....8.5..2.1.....4357......5....81,2.6
283,4....96.1.5.6.......3.8.79...2..3....36....74......5..8...7.1.5...9.........1..8.,2.6
284,.7.95...8.3.6..........1.7.6...7..2...45....9.8..1.........6.52.2.8....11......9.,2.6
285,..4..26..5..3......1.68....62.7.......12.....3....47.1....9.3.28.9.....7...4...5.,2.6
286,...8.....56..3.9.4....4......4....53.1...86........87.8....7.....1..4..84..9.576.,2.6
287,4.7...96.....6...5..9...1..1.......8.8.37.6....54.8..7..1..52..2......73...2.....,2.6
288,..2...714...6....5.3...19..6.4.....3..178.....2..4....2..3.......7..58......2....,2.6
289,6..7....2...58....5....9.8...6....148...4.93...4..1...3.187........6..5.7........,2.6
290,.2.6...8..8...79.5.4..1.......7....2..71.4...43...8.....137......94..26.......7..,2.6
291,.....46.....185.9.....6..81.....32...4...83....2....76.25.....3..7........8....17,2.6
292,5..9.....9...78..1.81.....42..4....3..8.9......7.......2..1.3.53..5.9.7......2..8,2.6
293,.5..7.......15.79.6.......8.4......6..7....2.9...4..1..6.8.....5..9.......8.17..5,2.6
294,.7.....8......2..1..3....9.7....6.42...2.5....4..8..65362..8........1.2.5....3..6,2.6
295,..8..4.124....9..67..61....1.39..5....64....7.......6.9..5............2..7.......,2.6
296,....951..2.4.8.5....8.2..3.43...2..7......41......6.53.....4.....396....92...1...,2.6
297,.37...8.1.9.....6.....2...72..3......4...138....8.5...3..67.5..4.8.32............,2.6
298,7...........7.195.....25.4.26..3...8...6..3..47...9....3...647...2.....1.9.....2.,2.6
299,.8.5.2..74.....5..12.....4..6....1.85...21..6....9...3....8...5...7.....3.895....,2.6
300,..9.......2.7.4.......357...6.....2558.2.9.4.......3..1..............89...4.8..67,2.6
